Player,POS,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Jaden McDaniels,PF,MIN,22.0,79.0,41.0,38.0,2416.5,953.0,370.0,716.0,51.7,107.0,269.0,39.8,106.0,144.0,73.6,92.0,215.0,307.0,148.0,112.0,74.0,76.0,272.0,1881.0,0.0,0.0,70.0
Rudy Gobert,C,MIN,30.0,70.0,34.0,36.0,2148.5,939.0,360.0,546.0,65.9,0.0,3.0,0.0,219.0,340.0,64.4,231.0,583.0,814.0,87.0,122.0,56.0,95.0,210.0,2377.0,35.0,0.0,-7.0
John Collins,PF,ATL,25.0,71.0,37.0,34.0,2129.6,931.0,359.0,707.0,50.8,70.0,240.0,29.2,143.0,178.0,80.3,77.0,385.0,462.0,85.0,79.0,42.0,73.0,220.0,1879.0,11.0,0.0,-21.0
Bruce Brown,SF,DEN,26.0,80.0,53.0,27.0,2279.5,923.0,358.0,741.0,48.3,91.0,254.0,35.8,116.0,153.0,75.8,63.0,265.0,328.0,268.0,123.0,87.0,51.0,190.0,2010.0,3.0,1.0,31.0
Max Strus,SG,MIA,27.0,80.0,42.0,38.0,2272.0,923.0,324.0,790.0,41.0,197.0,563.0,35.0,78.0,89.0,87.6,49.0,209.0,258.0,171.0,69.0,42.0,12.0,166.0,1582.0,2.0,0.0,-145.0
Caris LeVert,SG,CLE,28.0,74.0,45.0,29.0,2237.3,897.0,320.0,742.0,43.1,127.0,324.0,39.2,130.0,180.0,72.2,53.0,229.0,282.0,287.0,116.0,72.0,24.0,170.0,1838.0,1.0,0.0,194.0
Jakob Poeltl,C,TOR,27.0,72.0,26.0,46.0,1906.1,897.0,389.0,618.0,62.9,0.0,1.0,0.0,119.0,201.0,59.2,236.0,417.0,653.0,197.0,125.0,66.0,86.0,195.0,2307.0,19.0,0.0,-146.0
Tre Jones,PG,SAS,23.0,68.0,20.0,48.0,1983.7,875.0,341.0,743.0,45.9,45.0,158.0,28.5,148.0,172.0,86.0,56.0,189.0,245.0,448.0,110.0,89.0,9.0,98.0,2025.0,6.0,2.0,-325.0
Wendell Carter Jr.,C,ORL,24.0,57.0,26.0,31.0,1689.5,868.0,322.0,613.0,52.5,80.0,225.0,35.6,144.0,195.0,73.8,120.0,377.0,497.0,132.0,106.0,30.0,33.0,159.0,1745.0,21.0,0.0,-41.0
Mason Plumlee,C,LAC,33.0,79.0,28.0,51.0,2052.9,857.0,329.0,484.0,68.0,0.0,0.0,0.0,199.0,313.0,63.6,229.0,471.0,700.0,245.0,117.0,46.0,47.0,217.0,2227.0,23.0,0.0,-269.0
Eric Gordon,SG,LAC,34.0,69.0,25.0,44.0,1965.5,856.0,291.0,653.0,44.6,132.0,356.0,37.1,142.0,173.0,82.1,16.0,118.0,134.0,183.0,104.0,43.0,25.0,78.0,1391.0,0.0,0.0,-210.0
Kelly Olynyk,PF,UTA,32.0,68.0,28.0,40.0,1941.6,847.0,278.0,557.0,49.9,93.0,236.0,39.4,198.0,232.0,85.3,82.0,338.0,420.0,252.0,168.0,60.0,37.0,232.0,1852.0,9.0,0.0,14.0
LaMelo Ball,PG,CHA,21.0,36.0,13.0,23.0,1267.8,838.0,296.0,721.0,41.1,144.0,383.0,37.6,102.0,121.0,84.3,42.0,189.0,231.0,304.0,129.0,46.0,11.0,118.0,1613.0,17.0,3.0,-150.0
Markelle Fultz,PG,ORL,24.0,60.0,29.0,31.0,1777.9,837.0,349.0,679.0,51.4,27.0,87.0,31.0,112.0,143.0,78.3,69.0,165.0,234.0,341.0,139.0,87.0,26.0,131.0,1829.0,3.0,0.0,-130.0
Austin Reaves,SG,LAL,24.0,64.0,35.0,29.0,1843.2,833.0,259.0,490.0,52.9,86.0,216.0,39.8,229.0,265.0,86.4,33.0,160.0,193.0,215.0,99.0,33.0,19.0,108.0,1444.0,1.0,0.0,214.0
Patrick Williams,PF,CHI,21.0,82.0,40.0,42.0,2322.8,833.0,314.0,677.0,46.4,115.0,277.0,41.5,90.0,105.0,85.7,78.0,249.0,327.0,100.0,101.0,72.0,70.0,147.0,1700.0,1.0,0.0,-142.0
